Series,Character,Code,Rarity
Munchlings S1,Pua & Tramp,A272,Common
Munchlings S1,Timon & Pua,A272,Common
Munchlings S1,Remy & Marlin,A273,Common
Munchlings S1,Eve & Minnie Mouse,B001,Common
Munchlings S1,Flounder & Bambi,B003,Common
Munchlings S1,Wall-E & Bambi,B014,Common
Munchlings S1,Bambi & Daisy Duck,B019,Common
Munchlings S1,Tramp & Minnie Mouse,B021,Common
Munchlings S1,Timon & Daisy Duck,B028,Common
Munchlings S1,Mickey Mouse & Marlin,B033,Common
Munchlings S1,Bambi & Mickey Mouse,B047,Common
Munchlings S1,Timon & Pumbaa,B058,Common
Munchlings S1,Pumbaa,B058,Common
Munchlings S1,Mickey Mouse & Mochi,B066,Common
Munchlings S1,Tramp & Pearl,B071,Common
Munchlings S1,Wall-E & Mochi,B081,Common
Munchlings S1,Flounder & Donald Duck,B092,Common
Munchlings S1,Flounder & Sadness,B102,Common
Munchlings S1,Donald Duck & Minnie Mouse,B103,Common
Munchlings S1,Mickey Mouse & Donald Duck,B115,Common
Munchlings S1,Eve & Minnie Mouse,B118,Common
Munchlings S1,Wall-E & Daisy Duck,B123,Common
Munchlings S1,Bambi & Donald Duck,B124,Common
Munchlings S1,Flounder & Daisy Duck,B126,Common
Munchlings S1,Ursula & Donald Duck,B128,Common
Munchlings S1,Timon & Mickey Mouse,B130,Common
Munchlings S1,Timon & Bambi,B133,Common
Munchlings S1,Wall-E & Mickey Mouse,B136,Common
Munchlings S1,Mickey Mouse & Minnie Mouse,B137,Common
Munchlings S1,Timon & Donald Duck,B139,Common
Munchlings S1,Flounder & Wall-E,B145,Common
Munchlings S1,Tramp & Baymax,B150,Common
Munchlings S1,Timon & Tramp,B154,Common
Munchlings S1,Tramp & Bambi,B157,Common
Munchlings S1,Timon & Minnie Mouse,B162,Common
Munchlings S1,Flounder & Tramp,B165,Common
Munchlings S1,Tramp & Mickey Mouse,B167,Common
Munchlings S1,Daisy Duck & Minnie Mouse,B169,Common
Munchlings S1,Wall-E & Minnie Mouse,B173,Common
Munchlings S1,Timon & Wall-E,B181,Common
Munchlings S1,Dory & Daisy Duck,B182,Common
Munchlings S1,Sadness & Daisy Duck,B184,Common
Munchlings S1,Donald Duck & Daisy Duck,B185,Common
Munchlings S1,Flounder & Mickey Mouse,B196,Common
Munchlings S1,Timon & Pua,B302,Common
Munchlings S1,Sebastian & Tigger,B303,Common
Munchlings S1,Daisy Duck & Mickey Mouse,B304,Common
Munchlings S1,Flounder & Tigger,B305,Common
Munchlings S1,Chip & Dale,B306,Common
Munchlings S1,Flounder & Remy,B307,Common
Munchlings S1,Tramp & Dale,B308,Common
Munchlings S1,Flounder & Mickey Mouse,B310,Common
Munchlings S1,Nemo & Tramp,B311,Common
Munchlings S1,Pua,B312,Common
Munchlings S1,Wall-E & Pua,B312,Common
Munchlings S1,Bambi & Hei Hei,B313,Common
Munchlings S1,Donald Duck & Mickey Mouse,B314,Common
Munchlings S1,Eve & Dale,B315,Common
Munchlings S1,Pua & Minnie Mouse,B316,Common
Munchlings S1,Chip & Remy,B317,Common
Munchlings S1,Nemo & Emile,B319,Common
Munchlings S1,Pua & Dory,B320,Common
Munchlings S1,Chip & Pua,B321,Common
Munchlings S1,Wall-E & Dale,B322,Common
Munchlings S1,Remy & Baymax,B323,Common
Munchlings S1,Pluto & Mickey Mouse,B324,Common
Munchlings S1,Tigger & Mickey Mouse,B324,Common
Munchlings S1,Nemo & Bambi,B325,Common
Munchlings S1,Pua & Tigger,B326,Common
Munchlings S1,Daisy Duck & Thumper,B327,Common
Munchlings S1,Dale & Donald Duck,B328,Common
Munchlings S1,Tigger & Minnie Mouse,B329,Common
Munchlings S1,Mickey Mouse & Pumbaa,B330,Common
Munchlings S1,Minnie Mouse & Donald Duck,B331,Common
Munchlings S1,Chip & Tramp,B332,Common
Munchlings S1,Flounder & Mickey Mouse,B333,Common
Munchlings S1,Remy & Sebastian,B334,Common
Munchlings S1,Pua & Daisy Duck,B335,Common
Munchlings S1,Flotsam & Jetsam & Mickey Mouse,B336,Common
Munchlings S1,Wall-E & Chip,B337,Common
Munchlings S1,Timon & Mickey Mouse,B338,Common
Munchlings S1,Lady & Remy,B340,Common
Munchlings S1,Remy & Pearl,B341,Common
Munchlings S1,Tramp & Mickey Mouse,B342,Common
Munchlings S1,Wall-E & Pluto,B343,Common
Munchlings S1,Wall-E & Tigger,B343,Common
Munchlings S1,Nemo & Mickey Mouse,B344,Common
Munchlings S1,Ursula & Tigger,B345,Common
Munchlings S1,Chip & Bambi,B346,Common
Munchlings S1,Remy & Daisy Duck,B347,Common
Munchlings S1,Chip & Tigger,B348,Common
Munchlings S1,Minnie Mouse & Donald Duck,B349,Common
Munchlings S1,Timon & Nemo,B350,Common
Munchlings S1,Pua & Dale,B351,Common
Munchlings S1,Chip & Minnie Mouse,B352,Common
Munchlings S1,Remy & Dale,B353,Common
Munchlings S1,Mickey Mouse & Mickey Mouse,B354,Common
Munchlings S1,Sadness & Tigger,B355,Common
Munchlings S1,Tramp & Winnie the Pooh,B356,Common
Munchlings S1,Nemo & Daisy Duck,B357,Common
Munchlings S1,Pua & Remy,B358,Common
Munchlings S1,Wall-E & Mickey Mouse,B359,Common
Munchlings S1,Chip & Donald Duck,B360,Common
Munchlings S1,Tigger & Hei Hei,B361,Common
Munchlings S1,Nemo & Dale,B362,Common
Munchlings S1,Flounder & Pua,B363,Common
Munchlings S1,Timon & Remy,B364,Common
Munchlings S1,Chip & Mickey Mouse,B365,Common
Munchlings S1,Dale & Tigger,B366,Common
Munchlings S1,Mochi & Minnie Mouse,B367,Common
Munchlings S1,Remy & Nemo,B368,Common
Munchlings S1,Pua & Mickey Mouse,B369,Common
Munchlings S1,Bambi & Tigger,B370,Common
Munchlings S1,Chip & Nemo,B371,Common
Munchlings S1,Dale & Mickey Mouse,B372,Common
Munchlings S1,Pua & Emile,B373,Common
Munchlings S1,Timon & Donald Duck,B401,Common
Munchlings S1,Dale & Mickey Mouse,C402,Common
Munchlings S1,Chip & Nemo,C403,Common
Munchlings S1,Bambi & Tigger,C404,Common
Munchlings S1,Pua & Mickey Mouse,C405,Common
Munchlings S1,Remy & Nemo,C406,Common
Munchlings S1,Mochi & Minnie Mouse,C407,Common
Munchlings S1,Dale & Tigger,C408,Common
Munchlings S1,Chip & Mickey Mouse,C409,Common
Munchlings S1,Timon & Remy,C410,Common
Munchlings S1,Flounder & Pua,C411,Common
Munchlings S1,Nemo & Dale,C412,Common
Munchlings S1,Tigger & Hei Hei,C413,Common
Munchlings S1,Chip & Donald Duck,C414,Common
Munchlings S1,Wall-E & Mickey Mouse,C415,Common
Munchlings S1,Pua & Remy,C416,Common
Munchlings S1,Nemo & Daisy Duck,C417,Common
Munchlings S1,Tramp & Winnie the Pooh,C418,Common
Munchlings S1,Sadness & Tigger,C419,Common
Munchlings S1,Mickey Mouse & Mickey Mouse,C420,Common
Munchlings S1,Remy & Dale,C421,Common
Munchlings S1,Chip & Minnie Mouse,C422,Common
Munchlings S1,Pua & Dale,C423,Common
Munchlings S1,Timon & Nemo,C424,Common
Munchlings S1,Minnie Mouse & Donald Duck,C425,Common
Munchlings S1,Chip & Tigger,C426,Common
Munchlings S1,Remy & Daisy Duck,C427,Common
Munchlings S1,Chip & Bambi,C428,Common
Munchlings S1,Ursula & Tigger,C429,Common
Munchlings S1,Nemo & Mickey Mouse,C430,Common
Munchlings S1,Wall-E & Tigger,C431,Common
Munchlings S1,Tramp & Mickey Mouse,C432,Common
Munchlings S1,Remy & Pearl,C433,Common
Munchlings S1,Lady & Remy,C434,Common
Munchlings S1,Donald Duck & Minnie Mouse,C435,Common
Munchlings S1,Minnie Mouse & Nemo,C435,Common
Munchlings S1,Timon & Mickey Mouse,C436,Common
Munchlings S1,Wall-E & Chip,C437,Common
Munchlings S1,Flotsam & Jetsam & Mickey Mouse,C438,Common
Munchlings S1,Daisy Duck & Pua,C439,Common
Munchlings S1,Sebastian & Remy,C440,Common
Munchlings S1,Flounder & Mickey Mouse,C441,Common
Munchlings S1,Chip & Tramp,C442,Common
Munchlings S1,Minnie Mouse & Donald Duck,C443,Common
Munchlings S1,Donald Duck & Minnie Mouse,C443,Common
Munchlings S1,Mickey Mouse,C444,Common
Munchlings S1,Mickey Mouse & Pumbaa,C444,Common
Munchlings S1,Tigger & Minnie Mouse,C445,Common
Munchlings S1,Dale & Donald Duck,C446,Common
Munchlings S1,Daisy Duck & Thumper,C447,Common
Munchlings S1,Pua & Tigger,C448,Common
Munchlings S1,Nemo & Bambi,C449,Common
Munchlings S1,Mickey Mouse & Sebastian,C450,Common
Munchlings S1,Mickey Mouse & Tigger,C450,Common
Munchlings S1,Remy & Baymax,C451,Common
Munchlings S1,Wall-E & Dale,C452,Common
Munchlings S1,Chip & Pua,C453,Common
Munchlings S1,Pua & Dory,C454,Common
Munchlings S1,Nemo & Emile,C455,Common
Munchlings S1,Remy & Mickey Mouse,C456,Common
Munchlings S1,Chip & Remy,C457,Common
Munchlings S1,Pua & Minnie Mouse,C458,Common
Munchlings S1,Eve & Dale,C459,Common
Munchlings S1,Donald Duck & Mickey Mouse,C460,Common
Munchlings S1,Bambi & Hei Hei,C461,Common
Munchlings S1,Wall-E & Pua,C462,Common
Munchlings S1,Nemo & Tramp,C463,Common
Munchlings S1,Flounder & Mickey Mouse,C464,Common
Munchlings S1,Minnie Mouse & Pluto,C465,Common
Munchlings S1,Minnie Mouse & Tigger,C465,Common
Munchlings S1,Tramp & Dale,C466,Common
Munchlings S1,Flounder & Remy,C467,Common
Munchlings S1,Chip & Dale,C468,Common
Munchlings S1,Flounder & Lady,C469,Common
Munchlings S1,Daisy Duck & Mickey Mouse,C470,Common
Munchlings S1,Sebastian & Tigger,C471,Common
Munchlings S1,Timon & Pua,C472,Common
Munchlings S1,Remy & Marlin,C473,Common
Munchlings S1,Alien & Angel,TL001,Common
Munchlings S1,Patch & Nemo,A002,Common
Munchlings S1,Sulley & Mickey Mouse,A003,Common
Munchlings S1,Donald Duck & Dale,A004,Common
Munchlings S1,Donald Duck & Tramp,A005,Common
Munchlings S1,Dale & Eeyore,A007,Common
Munchlings S1,Chip & Mickey Mouse,A012,Common
Munchlings S1,Daisy Duck & Joy,A021,Common
Munchlings S1,Stitch & Patch,A023,Common
Munchlings S1,Goofy & Pua,A025,Common
Munchlings S1,Stitch & Patch,A028,Common
Munchlings S1,Chip & Dale,A033,Common
Munchlings S1,Daisy Duck & Joy,A036,Common
Munchlings S1,Goofy & Mickey Mouse,A039,Common
Munchlings S1,King Louie & Sulley,A042,Common
Munchlings S1,Dale & Dumbo,A043,Common
Munchlings S1,Bambi & Chip,A047,Common
Munchlings S1,Mickey Mouse & Nemo,A048,Common
Munchlings S1,Flounder & Goofy,A050,Common
Munchlings S1,Mickey Mouse & Cheshire Cat,A055,Common
Munchlings S1,Patch & Marie,A057,Common
Munchlings S1,Stitch & Pua,A058,Common
Munchlings S1,Mickey Mouse & Nemo,A059,Common
Munchlings S1,Mickey Mouse & Minnie Mouse,A059,Common
Munchlings S1,Mickey Mouse & Minnie Mouse,A059,Common
Munchlings S1,Chip & Tramp,A060,Common
Munchlings S1,Patch & Pua,A063,Common
Munchlings S1,Stitch & Patch,A068,Common
Munchlings S1,Patch & Chip,A071,Common
Munchlings S1,Patch & Chip,A071,Common
Munchlings S1,Donald Duck & Mickey Mouse,A076,Common
Munchlings S1,Dumbo & Minnie Mouse,A077,Common
Munchlings S1,Donald Duck & Daisy Duck,A083,Common
Munchlings S1,Patch & Mickey Mouse,A088,Common
Munchlings S1,Marie & Tigger,A091,Common
Munchlings S1,Stitch & Donald Duck,A092,Common
Munchlings S1,Chip & Flounder,A106,Common
Munchlings S1,Sebastian & Mickey Mouse,A108,Common
Munchlings S1,Dale & Donald Duck,A112,Common
Munchlings S1,Stitch & Ursula,A115,Common
Munchlings S1,Dale & Flounder,A117,Common
Munchlings S1,Mickey Mouse & Minnie Mouse,A118,Common
Munchlings S1,Chip & Tramp,A121,Common
Munchlings S1,Sulley & Leroy,A124,Common
Munchlings S1,Nemo & Tigger,A134,Common
Munchlings S1,Donald Duck & Chip,A149,Common
Munchlings S1,Stitch & Donald Duck,A150,Common
Munchlings S1,Chip & Bambi,A152,Common
Munchlings S1,Goofy & Mickey Mouse,A159,Common
Munchlings S1,Joy & Patch,A161,Common
Munchlings S1,Sulley & Cheshire Cat,A163,Common
Munchlings S1,Donald Duck & Mickey Mouse,A166,Common
Munchlings S1,Patch & Pua,A167,Common
Munchlings S1,Patch & Pua,A168,Common
Munchlings S1,Chip & Dale,A170,Common
Munchlings S1,Goofy & Piglet,A172,Common
Munchlings S1,Goofy & Leroy,A177,Common
Munchlings S1,Bambi & Donald Duck,A181,Common
Munchlings S1,Angel & Daisy Duck,A183,Common
Munchlings S1,Stitch & Patch,A185,Common
Munchlings S1,Chip & Minnie Mouse,A186,Common
Munchlings S1,Donald Duck & Chip,A187,Common
Munchlings S1,Goofy & Eve,A190,Common
Munchlings S1,Mickey Mouse & Tigger,A194,Common
Munchlings S1,Cheshire Cat & Tigger,A199,Common
Munchlings S1,Marie & Mickey Mouse,A202,Common
Munchlings S1,Baymax & Marie,A203,Common
Munchlings S1,Patch & Nemo,A205,Common
Munchlings S1,Cheshire Cat & Goofy,A207,Common
Munchlings S1,Sulley & Patch,A209,Common
Munchlings S1,Sulley & Chip,A211,Common
Munchlings S1,Patch & Pua,A213,Common
Munchlings S1,Stitch & Wall-E,A219,Common
Munchlings S1,Goofy & Minnie Mouse,A220,Common
Munchlings S1,Cheshire Cat & Goofy,A221,Common
Munchlings S1,Chip & Donald Duck,A225,Common
Munchlings S1,Chip & Donald Duck,A226,Common
Munchlings S1,Chip & Minnie Mouse,A227,Common
Munchlings S1,Donald Duck & Patch,A228,Common
Munchlings S1,Mickey Mouse & Dale,A239,Common
Munchlings S1,Dale & King Louie,A239,Common
Munchlings S1,Stitch & Pua,A241,Common
Munchlings S1,Chip & Marie,A243,Common
Munchlings S1,Daisy Duck & Mickey Mouse,A245,Common
Munchlings S1,Sulley & Dale,A246,Common
Munchlings S1,Donald Duck & Bambi,A248,Common
Munchlings S1,Flounder & Sulley,A249,Common
Munchlings S1,Donald Duck & Tramp,A250,Common
Munchlings S1,Daisy Duck & Joy,A252,Common
Munchlings S1,Donald Duck & Patch,A253,Common
Munchlings S1,Donald Duck & Mickey Mouse,A257,Common
Munchlings S1,Stitch & Wall-E,A265,Common
Munchlings S1,"Banana Berry Candy, Peanut Butter Swirl Cake Pop, Sea Salt Caramel Cookie, Vanilla Macaron, Wild Raspberry Lollipop",A266,Common
Munchlings S1,Chip & Daisy Duck,A270,Common
Munchlings S1,Goofy & Mickey Mouse,A273,Common
Munchlings S1,Flounder & Mickey Mouse,A274,Common
Munchlings S1,Stitch & Donald Duck,A276,Common
Munchlings S1,Sulley & Patch,A279,Common
Munchlings S1,Cheshire Cat & Chip,A284,Common
Munchlings S1,Donald Duck & Mickey Mouse,A285,Common
Munchlings S1,Sulley & Patch,A287,Common
Munchlings S1,Sulley & Winnie the Pooh,A297,Common
Munchlings S1,#VALUE!,B334,Common
Munchlings S1,Stitch & Wall-E,TL002,Common
Munchlings S1,Sulley,47,Common
Munchlings S1,#VALUE!,A250,Common
Munchlings S1,Mickey Mouse,1,Common
Munchlings S1,Minnie Mouse,2,Common
Munchlings S1,Pearl,3,Common
Munchlings S1,Nemo,4,Common
Munchlings S1,Remy,5,Common
Munchlings S1,Emile,6,Common
Munchlings S1,Joy,7,Common
Munchlings S1,Panda Mei,8,Common
Munchlings S1,Sadness,8,Common
Munchlings S1,Ursula,9,Common
Munchlings S1,Flotsam & Jetsam,10,Common
Munchlings S1,Pumbaa,11,Common
Munchlings S1,Timon,12,Common
Munchlings S1,Dory,13,Common
Munchlings S1,Marlin,14,Common
Munchlings S1,Bambi,16,Common
Munchlings S1,Dale,17,Common
Munchlings S1,Chip,18,Common
Munchlings S1,Mochi,19,Common
Munchlings S1,Baymax,20,Common
Munchlings S1,Minnie Mouse,21,Common
Munchlings S1,Mickey Mouse,22,Common
Munchlings S1,Donald Duck,23,Common
Munchlings S1,Daisy Duck,24,Common
Munchlings S1,Hei Hei,25,Common
Munchlings S1,Pua,26,Common
Munchlings S1,Sebastian,27,Common
Munchlings S1,Flounder,28,Common
Munchlings S1,Wall-E,29,Common
Munchlings S1,Eve,30,Common
Munchlings S1,Mickey Mouse,31,Common
Munchlings S1,Minnie Mouse,32,Common
Munchlings S1,Tramp,33,Common
Munchlings S1,Lady,34,Common
Munchlings S1,Mushu,36,Common
Munchlings S1,Winnie the Pooh,37,Common
Munchlings S1,Mickey Mouse,38,Common
Munchlings S1,Minnie Mouse,39,Common
Munchlings S1,Daisy Duck,40,Common
Munchlings S1,Piglet,41,Common
Munchlings S1,King Louie,42,Common
Munchlings S1,Angel,43,Common
Munchlings S1,Simba,44,Common
Munchlings S1,White Rabbit,45,Common
Munchlings S1,Marie,46,Common
Munchlings S1,Sulley,47,Common
Munchlings S1,Sulley,48,Common
Munchlings S1,Minnie Mouse,49,Common
Munchlings S1,Dumbo,50,Common
Munchlings S1,Cheshire Cat,51,Common
Munchlings S1,Goofy,52,Common
Munchlings S1,Mickey Mouse,53,Common
Munchlings S1,Donald Duck,54,Common
Munchlings S1,Daisy Duck,55,Common
Munchlings S1,Pluto,56,Common
Munchlings S1,Winnie the Pooh,57,Common
Munchlings S1,Stitch,58,Common
Munchlings S1,Donald Duck,59,Common
Munchlings S1,Patch,60,Common
Munchlings S1,Baymax,61,Common
Munchlings S1,Minnie Mouse,63,Common
Munchlings S1,Marie,65,Common
Munchlings S1,Winnie the Pooh,66,Common
Munchlings S1,Pluto,68,Common
Munchlings S1,Tigger,68,Common
Munchlings S1,Mickey Mouse,69,Common
Munchlings S1,Minnie Mouse,70,Common
Munchlings S1,Patch,71,Common
Munchlings S1,Eeyore,72,Common
Munchlings S1,Minnie Mouse,73,Common
Munchlings S1,Chip,74,Common
Munchlings S1,Dale,75,Common
Munchlings S1,Cheshire Cat,76,Common
Munchlings S1,Leroy,77,Common
Munchlings S1,Squirt,78,Common
Munchlings S1,Pluto,79,Common
Munchlings S1,Panda Mei,80,Common
Munchlings S1,Mickey Mouse,A031,Common
Munchlings S1,Donald Duck,A054,Common
Munchlings S1,Minnie Mouse,A063,Common
Munchlings S1,Marie,A065,Common
Munchlings S1,Minnie Mouse,A101,Common
Munchlings S1,Panda Mei,A102,Common
Munchlings S1,Baymax,A103,Common
Munchlings S1,Daisy Duck,A104,Common
Munchlings S1,Piglet,A105,Common
Munchlings S1,Minnie Mouse,A106,Common
Munchlings S1,Stitch,A107,Common
Munchlings S1,Flounder,A108,Common
Munchlings S1,Donald Duck,A109,Common
Munchlings S1,Patch,A110,Common
Munchlings S1,Winnie the Pooh,A111,Common
Munchlings S1,Stitch,A112,Common
Munchlings S1,Marie,A114,Common
Munchlings S1,Nemo,A115,Common
Munchlings S1,Donald Duck,A116,Common
Munchlings S1,Flounder,A116,Common
Munchlings S1,Mickey Mouse,A117,Common
Munchlings S1,Joy,A118,Common
Munchlings S1,Marie & Minnie Mouse,A012,Common
Munchlings S1,Minnie Mouse & Donald Duck,A033,Common
Munchlings S1,Mickey Mouse & Donald Duck,A048,Common
Munchlings S1,Marie & Mickey Mouse,A059,Common
Munchlings S1,Mickey Mouse & Minnie Mouse,A083,Common
Munchlings S1,Marie & Donald Duck,A172,Common
Munchlings S1,"Acai Bowl, Banana Berry Candy, Blue Raspberry Frozen Yogurt, Blueberry Pancake, Blueberry Pie, Bubblegum Lollipop, Cheesy Grilled Squash",TL000,Common
Munchlings S1,Goofy,8,Common
Munchlings S1,Mickey Mouse,12,Common
Munchlings S1,Donald Duck,17,Common
Munchlings S1,Flounder,28,Common
Munchlings S1,Minnie Mouse,45,Common
Munchlings S1,Piglet,56,Common
Munchlings S1,Marie,66,Common
Munchlings S1,Cheshire Cat,73,Common
Munchlings S2,Roo,105,Common
Munchlings S2,Cogsworth & Mickey Mouse,A003,Common
Munchlings S2,Daisy Duck & Minnie Mouse,A004,Common
Munchlings S2,Donald Duck & Lumiere,A005,Common
Munchlings S2,Lumiere & Stitch,A007,Common
Munchlings S2,Cogsworth & Minnie Mouse,A023,Common
Munchlings S2,Minnie Mouse & Tigger,A025,Common
Munchlings S2,Donald Duck & Piglet,A028,Common
Munchlings S2,Mickey Mouse & Tigger,A033,Common
Munchlings S2,Cogsworth & Tigger,A036,Common
Munchlings S2,Daisy Duck & Lumiere,A039,Common
Munchlings S2,Donald Duck & Minnie Mouse,A042,Common
Munchlings S2,Mickey Mouse & Tigger,A047,Common
Munchlings S2,Mickey Mouse & Stitch,A048,Common
Munchlings S2,Stitch,A048,Common
Munchlings S2,Donald Duck & Stitch,A055,Common
Munchlings S2,Daisy Duck & Stitch,A058,Common
Munchlings S2,Lumiere & Minnie Mouse,A059,Common
Munchlings S2,Mickey Mouse & Mushu,A060,Common
Munchlings S2,Minnie Mouse & Stitch,A068,Common
Munchlings S2,Cogsworth & Mickey Mouse,A071,Common
Munchlings S2,Mickey Mouse & Minnie Mouse,A076,Common
Munchlings S2,Beast & Tigger,A077,Common
Munchlings S2,Donald Duck & Minnie Mouse,A083,Common
Munchlings S2,Emile & Lumiere,A088,Common
Munchlings S2,Minnie Mouse & Red Panda Mei,A092,Common
Munchlings S2,Minnie Mouse & Minnie Mouse,A106,Common
Munchlings S2,March Hare & Mickey Mouse,A108,Common
Munchlings S2,Donald Duck & Tigger,A115,Common
